"sd_group","date","year","month","avrain"
"Central West",1936-09-01,1936,9,20.443795620438
"Central West",1936-10-01,1936,10,20.670802919708
"Central West",1936-11-01,1936,11,4.32773722627737
"Central West",1936-12-01,1936,12,116.75401459854
"Central West",1937-01-01,1937,1,51.2211678832117
"Central West",1937-02-01,1937,2,19.4518248175183
"Central West",1937-03-01,1937,3,53.6197080291971
"Central West",1937-04-01,1937,4,20.1795620437956
"Central West",1937-05-01,1937,5,27.6160583941606
"Central West",1937-06-01,1937,6,43.0613138686131
"Central West",1937-07-01,1937,7,10.1357664233577
"Central West",1937-08-01,1937,8,59.5321167883212
