"year","month","rain_bom_stn","rain_awap","rain_emast"
1941,6,22.1,22.8999996185303,NA
1941,7,18.8,19.5,NA
1941,8,19.9,34.7999992370605,NA
1941,9,35.2,45.5999984741211,NA
1941,10,40.8,45.5,NA
1941,11,18.4,25.1000003814697,NA
1941,12,29.5,29.3999996185303,NA
1942,1,6.6,11.8000001907349,NA
1942,2,35.2,41,NA
1942,3,251.1,304.100006103516,NA
1942,4,15.9,21.2999992370605,NA
1942,5,37.9,25.7999992370605,NA
1942,6,50.2,47.7999992370605,NA
1942,7,34.3,37.5,NA
1942,8,11.7,14.5,NA
1942,9,19.5,19.8999996185303,NA
1942,10,165,176.699996948242,NA
1942,11,120.1,138.300003051758,NA
1942,12,70.2,84.9000015258789,NA
1943,1,52.6,61,NA
1943,2,37.4,30.1000003814697,NA
1943,3,22.4,25.7999992370605,NA
1943,4,44.9,45.5999984741211,NA
1943,5,384.5,328.399993896484,NA
1943,6,12.3,12.8999996185303,NA
1943,7,8.7,7.59999990463257,NA
1943,8,135.9,141.300003051758,NA
1943,9,108.3,126.300003051758,NA
1943,10,35.5,42.2000007629395,NA
1943,11,138,151.199996948242,NA
1943,12,66.3,78.1999969482422,NA
1944,1,26.7,35.2999992370605,NA
1944,2,22.1,19.2999992370605,NA
1944,3,22.1,22.8999996185303,NA
1944,4,33.7,36.5,NA
1944,5,59.1,52.4000015258789,NA
1944,6,11.4,12.8999996185303,NA
1944,7,63,69.3000030517578,NA
1944,8,89.9,88.0999984741211,NA
1944,9,35,41.7999992370605,NA
1944,10,11.8,14.1000003814697,NA
1944,11,6.3,9.5,NA
1944,12,13.5,13.3999996185303,NA
1945,1,160.3,150.800003051758,NA
1945,2,41.9,62.7000007629395,NA
1945,3,22.1,26.7999992370605,NA
1945,4,138.7,135.300003051758,NA
1945,5,66,56.7999992370605,NA
1945,6,199.8,193,NA
1945,7,29.6,37.5,NA
1945,8,39.3,36.7999992370605,NA
1945,9,8,5.19999980926514,NA
1945,10,20.9,23.3999996185303,NA
1945,11,36.1,54.4000015258789,NA
1945,12,56.4,64.6999969482422,NA
1946,1,19.1,21.3999996185303,NA
1946,2,51.3,63.9000015258789,NA
1946,3,87.9,82.5,NA
1946,4,272.6,282.700012207031,NA
1946,5,47.3,34,NA
1946,6,97.2,90.5,NA
1946,7,0.8,0.899999976158142,NA
1946,8,0.5,0,NA
1946,9,27.2,23.2999992370605,NA
1946,10,39.8,43.5,NA
1946,11,91.2,89.9000015258789,NA
1946,12,20.9,33.5999984741211,NA
1947,1,32.7,38.5,NA
1947,2,145.4,172.300003051758,NA
1947,3,34.6,57.5999984741211,NA
1947,4,95.5,121.599998474121,NA
1947,5,33.2,31.7000007629395,NA
1947,6,15.7,17.8999996185303,NA
1947,7,15,13.8000001907349,NA
1947,8,23.6,25,NA
1947,9,19.9,19.5,NA
1947,10,39.2,36.7999992370605,NA
1947,11,106.4,96.8000030517578,NA
1947,12,231.8,282.399993896484,NA
1948,1,134.9,138,NA
1948,2,84.5,59,NA
1948,3,48.7,49.7000007629395,NA
