Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,67019,1932,05,16.9,Y
IDCJAC0001,67019,1932,06,21.2,Y
IDCJAC0001,67019,1932,07,32.5,Y
IDCJAC0001,67019,1932,08,49.6,Y
IDCJAC0001,67019,1932,09,134.7,Y
IDCJAC0001,67019,1932,10,16.3,Y
IDCJAC0001,67019,1932,11,106.0,Y
IDCJAC0001,67019,1932,12,47.1,Y
IDCJAC0001,67019,1933,01,163.9,Y
IDCJAC0001,67019,1933,02,6.6,Y
IDCJAC0001,67019,1933,03,68.1,Y
IDCJAC0001,67019,1933,04,173.1,Y
IDCJAC0001,67019,1933,05,82.7,Y
IDCJAC0001,67019,1933,06,39.0,Y
IDCJAC0001,67019,1933,07,72.7,Y
IDCJAC0001,67019,1933,08,0.0,Y
IDCJAC0001,67019,1933,09,91.4,Y
IDCJAC0001,67019,1933,10,72.5,Y
IDCJAC0001,67019,1933,11,79.5,Y
IDCJAC0001,67019,1933,12,70.4,Y
IDCJAC0001,67019,1934,01,90.6,Y
IDCJAC0001,67019,1934,02,180.1,Y
IDCJAC0001,67019,1934,03,26.2,Y
IDCJAC0001,67019,1934,04,119.4,Y
IDCJAC0001,67019,1934,05,53.0,Y
IDCJAC0001,67019,1934,06,61.8,Y
IDCJAC0001,67019,1934,07,162.0,Y
IDCJAC0001,67019,1934,08,70.3,Y
IDCJAC0001,67019,1934,09,134.5,Y
IDCJAC0001,67019,1934,10,43.7,Y
